197.69,1888.9
230.71,1868.5
246.6,1850.5
265.76,1857.5
263.72,1835.9
261.28,1821.2
234.78,1824.9
167.93,1825.3
156.52,1865.2
170.79,1805.3
179.35,1790.6
178.53,1798.8
167.12,1783.3
150,1798.8
119.84,1783.3
110.46,1768.6
70.516,1774.3
165.08,1747.4
167.53,1716.4
200.95,1720.1
200.54,1744.2
161.41,1701.8
209.1,1660.2
121.88,1737.2
66.033,1668.8
199.73,1641.4
184.65,1667.5
155.71,1663
269.43,1651.6
258.02,1644.7
275.14,1672
313.04,1663.5
279.62,1762.5
292.26,1789
307.74,1786.1
273.1,1806.1
269.43,1799.2
304.08,1837.1
326.9,1858.7
350.14,1860.3
357.88,1875.8
377.04,1868.5
403.94,1879.9
421.06,1895.4
445.92,1898.6
487.09,1879.5
515.22,1895
526.63,1851.4
484.65,1854.6
477.31,1836.3
474.46,1815.1
434.92,1832.6
425.95,1862.4
398.64,1848.1
383.97,1835.9
370.11,1829.3
397.83,1815.9
366.85,1800
396.6,1795.5
338.32,1830.2
334.65,1777.2
350.54,1749
339.95,1733.2
317.93,1780
316.3,1728.3
358.7,1712.4
367.66,1729.5
398.64,1739.7
424.73,1763.7
437.36,1789.4
456.52,1780.4
465.9,1744.6
408.42,1783.3
436.14,1725
435.73,1691.6
390.08,1674
360.73,1654.5
379.48,1645.5
355.03,1683.4
354.62,1639
339.95,1623.1
297.55,1632.9
486.28,1703.4
476.9,1706.2
496.06,1770.2
511.14,1749
512.36,1826.1
544.57,1821.2
553.12,1855
624.05,1868.5
626.9,1888
614.27,1822.8
637.5,1836.3
639.54,1789
614.27,1783.7
578.8,1776
482.61,1652.4
505.84,1678.5
527.45,1648.4
531.11,1698.9
529.48,1730.7
549.05,1719.7
552.31,1742.1
566.98,1762.9
593.48,1695.2
629.76,1727.9
630.57,1745.4
534.78,1789.8
569.02,1802.4
582.88,1816.7
215.22,1471.1
168.75,1510.6
136.55,1522
134.92,1539.9
154.48,1581.5
176.49,1563.2
199.32,1524
207.07,1506.1
211.14,1550.5
227.04,1528.1
248.64,1540.4
254.35,1552.2
293.48,1524.9
293.07,1543.6
311.01,1530.6
324.46,1553.4
343.61,1538.3
349.32,1527.3
386.01,1498.8
334.24,1496.3
311.41,1489.8
349.73,1399.3
286.14,1394.4
296.33,1473.5
269.43,1462.1
186.28,1604.8
120.65,1585.6
66.033,1561.5
89.266,1535.5
9.375,1618.6
26.902,1533.8
55.027,1528.9
61.549,1510.2
46.467,1505.3
63.587,1493.5
71.739,1477.2
50.544,1479.6
17.527,1475.1
38.315,1457.2
11.005,1457.2
14.266,1438.5
20.788,1418.5
36.685,1430.7
48.913,1399.3
97.826,1419.3
116.17,1423
74.185,1447.8
75.408,1425.4
94.973,1462.1
114.95,1454.3
149.59,1447
106.39,1504.1
186.68,1465.8
189.13,1496.3
359.92,1590.1
282.07,1597
518.07,1553
518.07,1576.2
508.7,1602.3
495.24,1617
551.09,1592.5
532.34,1589.7
574.73,1545.2
597.15,1590.1
626.49,1580.7
624.05,1561.1
613.04,1518.8
629.76,1513.5
645.65,1528.9
405.98,1235.5
24.456,1354.1
6.5217,1345.1
138.79,593.07
100.27,582.07
95.992,578.4
83.764,580.84
100.88,555.77
123.51,542.93
147.96,535.6
114.33,512.98
83.152,548.44
53.804,523.98
45.856,536.82
8.5598,538.04
0.6114,594.29
29.959,487.3
50.136,489.74
68.478,509.92
98.438,478.12
103.94,468.95
125.95,465.29
141.24,490.35
149.8,473.23
152.85,460.39
156.52,438.38
140.01,432.27
116.78,434.1
135.73,413.32
92.323,395.58
107.61,381.52
103.94,376.63
90.489,353.4
64.81,402.92
57.473,412.09
84.375,434.1
64.81,450.61
40.353,442.66
19.565,432.27
12.84,470.18
1.8342,399.86
12.228,380.3
17.731,402.31
16.508,415.15
31.182,363.18
22.011,345.45
65.421,337.5
70.312,330.16
39.742,336.28
17.731,303.26
2.4457,281.25
1.2228,320.38
66.033,264.74
64.81,284.92
85.598,314.27
59.307,313.65
117.39,307.54
99.66,311.21
118,325.27
125.95,355.23
141.24,340.56
143.07,384.58
166.3,357.07
180.98,378.46
182.81,343
207.88,324.66
229.28,316.1
240.29,312.43
238.45,324.66
268.41,332
263.52,343.61
234.78,349.12
234.78,393.75
211.55,420.04
215.22,401.09
196.26,409.65
178.53,403.53
220.72,440.83
199.93,441.44
193.21,468.34
244.57,440.22
252.51,408.42
272.08,466.51
269.63,470.79
245.18,486.07
225.61,487.3
197.49,506.25
202.99,525.2
228.06,549.66
245.18,518.48
269.02,509.31
267.19,534.99
302.04,527.04
319.77,541.71
295.92,565.56
314.27,596.74
338.72,572.89
354.01,571.06
349.73,546.6
353.4,544.77
361.96,543.55
349.73,528.87
390.08,542.93
377.85,594.29
387.64,522.76
371.13,502.58
428.6,533.15
445.11,543.55
455.5,564.33
487.3,514.2
507.47,539.88
512.36,475.68
475.07,462.84
464.06,445.11
471.4,424.32
423.71,444.5
398.03,468.34
379.69,448.17
352.17,476.29
335.05,468.95
332,490.96
316.1,478.74
311.21,457.34
290.42,455.5
291.64,427.38
274.52,418.82
319.16,425.54
344.23,440.22
385.19,418.21
380.91,434.1
368.07,402.92
349.12,387.02
402.92,391.3
440.22,405.37
479.96,391.92
526.43,436.55
531.93,473.23
540.49,495.86
550.88,536.21
578.4,521.54
588.79,505.03
580.84,441.44
569.84,392.53
591.24,360.12
553.33,371.74
533.76,343
536.82,302.65
572.28,324.05
557,289.2
507.47,316.71
456.11,330.16
451.83,340.56
397.42,348.51
395.58,355.84
376.02,335.67
401.09,330.77
402.31,325.27
417.6,322.21
402.31,311.21
385.8,319.16
407.2,302.04
415.76,303.26
418.82,285.53
396.2,286.14
374.8,282.47
377.85,302.04
358.9,314.88
360.73,371.13
368.68,350.95
340.56,367.46
308.76,384.58
293.48,332.61
303.26,322.83
298.37,347.28
275.75,382.13
271.47,361.35
327.11,318.55
343.61,328.33
314.88,297.76
356.45,266.58
340.56,279.42
396.2,254.96
418.21,245.18
413.32,221.33
387.64,220.72
388.86,233.56
354.62,230.5
338.72,209.1
290.42,210.94
276.97,204.21
245.18,225.61
260.46,228.06
305.71,247.01
322.21,259.85
284.31,236.01
215.83,251.9
212.16,282.47
169.97,309.99
180.98,285.53
187.7,291.03
149.8,291.03
160.8,272.08
158.36,252.51
104.55,281.86
92.323,236.01
71.535,236.62
22.622,228.06
29.959,217.66
26.902,201.15
7.337,206.05
41.576,176.09
12.84,174.25
14.674,138.79
55.639,147.35
79.484,168.14
100.27,201.15
73.37,206.66
128.4,206.05
158.36,188.32
